admin2Pcod,conflict_diffusion_indicator,exposedpop_sahel,inhabitants_100m
MR0304,0.0,0.0,67404.79512792826
MR0401,0.0,0.0,140606.42819526792
MR0402,0.0,0.0,6577.005677354988
MR0502,0.0,0.0,89330.13642328978
MR0501,0.0,0.0,152296.81062602997
MR0503,0.0,0.0,124570.7028965354
MR0504,0.0,0.0,52508.83541339636
MR0602,0.0,0.0,263672.8909679651
MR0601,0.0,0.0,91647.18071508408
MR0701,0.0,0.0,115587.78498411179
MR0703,0.0,0.0,75231.27948868275
MR0702,0.0,0.0,202383.24826603383
MR0706,0.0,0.0,98964.82649129629
MR0704,0.0,0.0,108138.16296800971
MR0707,0.0,0.0,18339.100699692965
MR0705,0.0,0.0,14289.973774701357
MR0802,0.0,0.0,110472.57343751192
MR0804,0.0,0.0,130121.82110863924
MR0801,0.0,0.0,85095.27815943956
MR0803,0.0,0.0,48393.90005388856
MR0900,0.0,0.0,23489.488818489015
MR1008,0.0,0.0,259755.3569458276
MR1004,0.8011249661780399,148104.83229017258,184871.073231861
MR1007,0.80268295721934,234827.5093588829,292553.2518746555
MR1009,0.1339235671850473,12919.908861160278,96472.25751766562
MR1006,0.9962157472346994,173664.3100836277,174323.99614810944
MR1003,0.6446115448039393,33938.56673645973,52649.641493439674
MR1002,0.26813488440024047,14260.456511616707,53183.8911729604
MR1001,0.9203753571042278,169551.11378836632,184219.52791285515
MR1005,0.0,0.0,115425.57779148966
MR1101,0.0,0.0,46665.90875393152
MR1103,0.0,0.0,36216.473279088736
MR1102,0.0,0.0,4553.298127613962
MR1203,0.0,0.0,49562.408256173134
MR1202,0.0,0.0,9081.220260046422
MR1201,0.012093776026593969,59.004829585552216,4878.941817328334
MR1306,0.0,0.0,61277.103810071945
MR1302,0.0,0.0,26695.534857958555
MR1305,0.0,0.0,74180.7340336442
MR1303,0.04173771520819267,1335.781073898077,32004.173377364874
MR1304,0.0,0.0,14777.35188741982
MR1301,0.0,0.0,70509.02142891288
NE0101,0.3065594598813979,18217.151746749878,59424.52975940704
NE0102,0.5610027992095641,73842.14285850525,131625.26633119583
NE0103,0.0,0.0,18758.488329172134
NE0104,0.0,0.0,52949.267750263214
NE0105,0.0,0.0,76669.58131885529
NE0106,0.36400432533531896,120860.13692951202,332029.3977775574
NE0201,0.35025451441773253,45326.42324209213,129409.96154594421
NE0202,0.4329725089597165,91656.95196914673,211692.31318950653
NE0203,0.030067299987259398,3980.679328918457,132392.31093597412
NE0204,0.06600574003438961,12767.40548324585,193428.7150874138
NE0205,0.03709708381386037,3724.338896751404,100394.38451385498
NE0206,0.464982402288773,67346.60220527649,144836.88387727737
NE0301,0.0,0.0,329160.0960044861
NE0302,0.0,0.0,141842.74244594574
NE0303,0.0,0.0,475630.13898944855
NE0304,0.0,0.0,631615.0884013176
NE0305,0.0,0.0,133608.03041648865
NE0306,0.0,0.0,351730.05749225616
NE0307,0.0,0.0,216358.43300628662
NE0308,0.0,0.0,323074.4072418213
NE0401,0.0,0.0,289095.9698572159
NE0402,0.0,0.0,154891.62368535995
NE0403,0.0,0.0,827141.9156570435
NE0404,0.0,0.0,272262.4009408951
NE0405,0.0,0.0,818627.3169221878
NE0406,0.0,0.0,528238.49477005
NE0407,0.0,0.0,391665.8604879379
NE0408,0.0,0.0,712348.089580059
NE0409,0.0,0.0,691926.0094852448
NE0501,0.0,0.0,615307.8151063919
NE0502,0.0,0.0,98529.48948097229
NE0503,0.0,0.0,441151.54616069794
NE0504,0.0,0.0,627552.0122871399
NE0505,0.0,0.0,470966.8009853363
NE0506,0.0,0.0,466959.88927841187
NE0507,0.0,0.0,813460.1404628754
NE0508,0.0,0.0,294941.5405702591
NE0509,0.0,0.0,626833.1792488098
NE0510,0.0,0.0,29549.514577388763
NE0511,0.0,0.0,300641.45879888535
NE0512,0.0014335787198228242,102.40689325332642,71434.44014430046
NE0513,0.0,0.0,208142.16739177704
NE0601,0.02975127034939203,5530.938501358032,185905.9608683586
NE0602,0.37861115948889706,37559.65301942825,99203.76639223099
NE0603,0.0,0.0,114294.94005584717
NE0604,0.008610315853838845,840.7309579849243,97642.29004561901
NE0605,0.09406631539317378,9277.795713424683,98630.3723564148
NE0606,0.000946556383396574,377.5257215499878,398841.2398586273
NE0607,0.009491818399998419,3215.8948678970337,338807.0370054245
NE0608,0.006475450711564006,3941.002522468567,608606.6743478775
NE0609,0.05698125030161222,22728.03244304657,398868.61595249176
NE0610,0.0250576517455828,5776.40217590332,230524.48148584366
NE0611,0.07393135922781068,39789.71832036972,538198.1169555187
NE0612,0.024582862450113933,6763.640568733215,275136.4118990898
NE0613,0.11896961994544157,31060.66879940033,261080.67600488663
NE0701,0.0,0.0,123441.95481967926
NE0702,0.0,0.0,491225.70229768753
NE0703,0.0,0.0,483623.6805577278
NE0704,0.0,0.0,477478.50127363205
NE0705,0.0,0.0,567264.9517760277
NE0706,0.0,0.0,1009637.6429095268
NE0707,0.0,0.0,614484.1575984955
NE0708,0.0,0.0,287540.1155433655
NE0709,0.0,0.0,588196.3075709343
NE0710,0.0,0.0,50111.98136997223
NE0711,0.0,0.0,590850.2359256744
NE0801,0.3977058203235091,539178.1567640305,1355721.0611739159
TD0103,0.0,0.0,157000.93482637405
TD0102,0.006155827445469857,1578.4209742546082,256410.854306221
TD0101,0.0,0.0,281022.4922347069
TD0201,0.0,0.0,18990.480993270874
TD0202,0.0021860347758058066,476.1023826599121,217792.68469524384
TD0303,0.0,0.0,268448.36145401
TD0301,0.0,0.0,284425.29591012
TD0302,0.0,0.0,161533.4930586815
TD0403,0.0,0.0,150821.59975337982
TD0402,0.0,0.0,244413.07859134674
TD0401,0.0,0.0,251361.20555257797
TD0404,0.0,0.0,138422.68638038635
TD0503,0.0,0.0,201693.55392336845
TD0502,0.05900682975395123,18386.640057086945,311601.8964881897
TD0501,0.0,0.0,190132.12016677856
TD0603,0.0,0.0,143568.6346526146
TD0601,0.00923500430425402,2314.272050857544,250597.8313179016
TD0602,0.0,0.0,151644.65706777573
TD0701,0.03579357882281881,4181.112019062042,116811.79017496109
TD0702,0.0,0.0,353904.47884607315
TD0704,0.04538490403642495,5247.117760181427,115613.72380495071
TD0703,0.13351408483329275,14058.444563388824,105295.59170436859
TD0801,0.04872588416930184,17828.55743598938,365895.00098228455
TD0802,0.0,0.0,162761.3397541046
TD0803,0.0,0.0,104062.08762836456
TD0804,0.0,0.0,221327.54015684128
TD0903,0.0,0.0,85071.25203037262
TD0905,0.0,0.0,158051.08573055267
TD0902,0.0,0.0,145369.4663119316
TD0906,0.0,0.0,380638.75078487396
TD0904,0.0,0.0,215925.14599227905
TD0901,0.21626640789431342,50726.06540679932,234553.60405111313
TD1003,0.0,0.0,209494.4148621559
TD1002,0.0,0.0,302733.5416202545
TD1001,0.0,0.0,358202.6866927147
TD1102,0.0,0.0,316454.212451458
TD1104,0.0,0.0,314478.311234951
TD1101,0.0,0.0,326620.03134822845
TD1103,0.0,0.0,112666.90209245682
TD1201,0.04850974022278367,21867.148747444153,450778.5167889595
TD1202,0.0,0.0,244709.33967971802
TD1203,0.0,0.0,71742.24670028687
TD1302,0.0,0.0,149077.68392801285
TD1301,0.0,0.0,412027.3387775421
TD1303,0.0,0.0,243080.39959907532
TD1402,0.035520020254459994,6185.328953742981,174136.41404008865
TD1403,0.01794794343815211,8061.893452167511,449182.01798152924
TD1401,0.14951659815534923,81061.6237578392,542158.026319027
TD1503,0.0,0.0,76975.06766986847
TD1501,0.0,0.0,253314.69077014923
TD1502,0.0,0.0,89593.84068059921
TD1603,0.0,0.0,93682.99787473679
TD1602,0.02389362784975866,10130.644381523132,423989.3768005371
TD1601,0.0,0.0,325089.3349714279
TD1702,0.0,0.0,356135.90169525146
TD1701,0.0,0.0,334618.0988249779
TD1704,0.0,0.0,94164.75507688522
TD1703,0.0,0.0,222817.04778718948
TD1801,0.24692498461915616,369066.89029312134,1494651.8711435795
TD1903,0.0,0.0,99656.1400103569
TD1901,0.0,0.0,227603.60127305984
TD1902,0.0,0.0,102073.60754537582
TD2002,0.0,0.0,116404.62933921814
TD2001,0.0,0.0,170806.9065093994
TD2101,0.0,0.0,490453.2165822983
TD2102,0.0,0.0,132079.74065876007
TD2201,0.15547064105846858,5207.071758985519,33492.31548500061
TD2202,0.12717122116532073,3896.1893286705017,30637.35091137886
TD2303,0.0,0.0,64209.111328125
TD2301,0.16178423009133092,11935.504034996033,73774.21166610718
